Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.34,-.50,-.22,-.29,-.05,-.15,-.17,-.25,-.22,-.31,-.42,-.39,-.28,***,***,-.19,-.19,-.32
1881,-.30,-.21,-.03,.01,.04,-.32,.09,-.03,-.25,-.42,-.36,-.22,-.17,-.18,-.30,.01,-.09,-.34
1882,.27,.22,.02,-.31,-.24,-.29,-.27,-.14,-.24,-.52,-.32,-.68,-.21,-.17,.09,-.17,-.23,-.36
1883,-.57,-.65,-.15,-.30,-.25,-.11,-.05,-.22,-.33,-.16,-.44,-.14,-.28,-.33,-.63,-.23,-.12,-.31
1884,-.16,-.10,-.64,-.59,-.35,-.41,-.44,-.50,-.44,-.44,-.57,-.46,-.43,-.40,-.14,-.53,-.45,-.48
1885,-1.00,-.44,-.23,-.48,-.58,-.44,-.34,-.41,-.40,-.37,-.38,-.11,-.43,-.46,-.64,-.43,-.40,-.38
1886,-.74,-.83,-.72,-.37,-.33,-.37,-.15,-.43,-.33,-.31,-.39,-.22,-.43,-.42,-.56,-.47,-.32,-.35
1887,-1.08,-.70,-.44,-.38,-.25,-.20,-.24,-.54,-.21,-.49,-.27,-.43,-.44,-.42,-.66,-.36,-.33,-.32
1888,-.49,-.61,-.64,-.22,-.15,-.03,-.01,-.21,-.20,-.04,-.01,-.24,-.24,-.25,-.51,-.34,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.09,-.21,-.30,-.42,-.62,-.54,-.18,-.15,-.08,.03,-.12,-.45
1890,-.63,-.57,-.47,-.25,-.35,-.16,-.23,-.39,-.35,-.10,-.62,-.46,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.46,-.68,-.16,-.35,-.15,-.12,-.12,-.13,-.08,-.28,-.52,-.04,-.26,-.29,-.54,-.22,-.12,-.29
1892,-.50,-.16,-.67,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.82,-.66,-.40,-.35,-.23,-.46,-.26,-.44
1893,-1.52,-.97,-.33,-.30,-.44,-.19,-.14,-.34,-.29,-.28,-.34,-.60,-.48,-.48,-1.05,-.36,-.22,-.30
1894,-.92,-.42,-.22,-.54,-.26,-.41,-.21,-.27,-.33,-.28,-.48,-.36,-.39,-.41,-.65,-.34,-.30,-.36
1895,-.70,-.81,-.51,-.19,-.30,-.21,-.19,-.28,-.07,-.10,-.14,-.23,-.31,-.32,-.62,-.33,-.23,-.10
1896,-.37,-.19,-.51,-.61,-.17,.07,-.01,-.12,-.13,.04,-.21,-.22,-.20,-.20,-.26,-.43,-.02,-.10
1897,-.41,-.43,-.41,-.06,.13,-.07,.03,-.07,-.07,-.15,-.28,-.28,-.17,-.17,-.35,-.11,-.04,-.17
1898,.06,-.46,-.80,-.28,-.27,-.08,-.11,-.17,-.18,-.37,-.51,-.27,-.28,-.29,-.23,-.45,-.12,-.35
1899,-.12,-.65,-.59,-.24,-.25,-.35,-.17,-.08,-.06,.03,.36,-.47,-.22,-.20,-.35,-.36,-.20,.11
1900,-.62,-.14,.05,-.10,-.04,-.10,-.12,-.10,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.11,.03
1901,-.34,-.10,.27,.11,-.12,.00,.01,-.17,-.28,-.33,-.23,-.42,-.13,-.10,-.15,.09,-.05,-.28
